department,url
Broadwell College of Business and Economics (BCBE),https://www.uncfsu.edu/academics/colleges-schools-and-departments/broadwell-college-of-business-and-economics
"Accounting, Finance, Healthcare Administration, and Information Systems",https://www.uncfsu.edu/academics/colleges-schools-and-departments/broadwell-college-of-business-and-economics/department-of-accounting-finance-healthcare-administration-and-information-systems
"Management, Marketing, Entrepreneurship, and Fire & Emergency Services Administration",https://www.uncfsu.edu/academics/colleges-schools-and-departments/broadwell-college-of-business-and-economics/department-of-management-marketing-entrepreneurship-and-fire-and-emergency-services-administration
Department of Graduate and Professional Studies in Business,https://www.uncfsu.edu/academics/colleges-schools-and-departments/broadwell-college-of-business-and-economics/department-of-graduate-and-professional-studies-in-business
College of Education (COE),https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-education
Educational Leadership and School Administration,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-education/department-of-educational-leadership-and-school-administration
"Early Childhood, Elementary, Middle Grades, Reading, and Special Education",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-education/department-of-early-childhood-elementary-middle-grades-reading-and-special-education
"Health, Physical, and Secondary Education",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-education/department-of-health-physical-and-secondary-education
"College of Health, Science, and Technology (CHST)",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-health-science-and-technology
Biological and Forensic Sciences,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-health-science-and-technology/department-of-biological-and-forensic-sciences
"Chemistry, Physics, and Materials Science",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-health-science-and-technology/department-of-chemistry-physics-and-materials-science
Mathematics and Computer Science,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-health-science-and-technology/department-of-mathematics-and-computer-science
School of Nursing,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-health-science-and-technology/school-of-nursing
College of Humanities and Social Sciences (CHSS),https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences
Air Force ROTC,https://www.uncfsu.edu/academics/colleges-schools-and-departments/university-college/air-force-rotc-x769
Army ROTC,https://www.uncfsu.edu/academics/colleges-schools-and-departments/university-college/army-rotc
"Communication, Languages, and Cultures",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-communication-languages-and-cultures
Criminal Justice,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-criminal-justice
"English: Literature, Teaching, Pre-Law, and Creative & Professional Writing",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-english-literature-teaching-pre-law-and-creative-and-professional-writing
"Intelligence Studies, Geospatial Sciences, Political Sciences, & History",https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-intelligence-studies-geospatial-science-political-science-and-history
Performing and Fine Arts,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-performing-and-fine-arts
Psychology,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-psychology
School of Social Work,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/school-of-social-work
Sociology,https://www.uncfsu.edu/academics/colleges-schools-and-departments/college-of-humanities-and-social-sciences/department-of-sociology-and-interdisciplinary-studies
University College,https://www.uncfsu.edu/academics/colleges-schools-and-departments/university-college
Center for Defense & Homeland Security,https://www.uncfsu.edu/academics/colleges-schools-and-departments/center-for-defense-and-homeland-security
Office for Adult Learners,https://www.uncfsu.edu/academics/colleges-schools-and-departments/office-for-adult-learners
Military Education,https://www.uncfsu.edu/academics/colleges-schools-and-departments/military-education
home,https://www.uncfsu.edu/